"ingredient_id","ingredient_name","price","image_id"
1,"Italian Sausages","$3.59",
3,"Italian Seasoning","$3.49",
5,"Red Pepper","$1.50",
6,"Sweet Onion","$0.99",
7,"Pasta","$0.69",
8,"Salt","$0.59",
9,"Marinara Sauce","$1.99",
2,"Diced Tomatoes","$1.13",
4,"Garlic Powder","$1.19",1
10,"Can of Tuna","$1.19",
11,"Big Can of Cream of Chicken","$2.49",
12,"Bag of Egg Noodles","$1.99",
13,"Frozen Peas","$1.49",
14,"Panko Bread Crumbs","$1.59",
15,"Chicken Breasts","$5.24",
16,"Eggs","$2.49",
17,"All-Purpose Flour","$3.39",
18,"Ball of Mozzarella","$3.79",
19,"Small Grated Parm","$2.00",
20,"Broccoli Crown","$1.09",
21,"Minced Garlic","$2.59",
22,"Baguette","$2.99",
23,"Ground Beef","$5.15",
24,"Hamburger buns","$1.69",
25,"Worcestershire sauce","$2.29",
26,"Cumin","$2.99",
27,"Sweet Potato","$1.19",
28,"olive oil","$5.29",
29,"canola oil","$2.50",
30,"pepper grinder","$2.19",
31,"white rice","$2.29",
32,"chiii powder","$2.99",
33,"Can of Beans","$0.69",
34,"Can of Diced Tomatoes with Chiles","$1.13",
35,"Shredded Chedder Cheese","$2.29",
36,"Red Pepper","$1.50",
37,"Green Pepper","$0.89",
38,"Sliced Mushrooms","$1.67",
39,"Frozen Edamame","$2.59",
40,"Shredded Carrots","$1.67",
41,"Vegetable Oil","$2.89",
42,"Soy Sauce","$2.68",
43,"Ground Ginger","$5.19",
44,"Salmon","$5.99",
45,"Soyaki","$5.99",
46,"American Cheese Slices","$2.25",
47,"Lettuce","$1.99",
48,"Tomato","$1.19",
49,"Onion","$0.99",
50,"Frozen Pizza Dough","$1.99",
51,"Pizza Suace","$1.69",
52,"Shredded Mozzarella","$2.29",
53,"Fingerling Potatoes","$3.99",
54,"Lemon","$0.99",
55,"Asparagus","$3.99",
56,"Fresh Rosemary","$1.99",
